sentence,language,intent,product_mentioned
akki order kodu,Kannada,add_stock,rice
low stock items list please today,Code-Mixed,low_stock_alert,unknown
low stock items list please jaldi,Code-Mixed,low_stock_alert,unknown
stock alert do,Hindi,low_stock_alert,unknown
emergency alli yaav order maadali,Kannada,low_stock_alert,dal
tell me items that are almost finished please,English,low_stock_alert,oil
tea kitna stock hai tell me quickly,Code-Mixed,check_stock,oil
stock prediction for next 7 days quickly,Code-Mixed,get_prediction,unknown
stock prediction for next 7 days jaldi,Code-Mixed,get_prediction,unknown
predict slow moving items now,English,get_prediction,unknown
stock khatam hone wala kaun sa please,Hindi,low_stock_alert,unknown
haalu order maadi please quickly,Code-Mixed,add_stock,milk
how to add stock batao now,Code-Mixed,help,unknown
explain stock prediction,English,help,unknown
emergency alli yaav order maadali now,Kannada,low_stock_alert,dal
predict tomorrow's need please,English,get_prediction,unknown
raje dinakke forecast,Kannada,get_prediction,unknown
naale yaav mugiyutte,Kannada,low_stock_alert,unknown
khaali hone wale items batao today,Code-Mixed,low_stock_alert,unknown
check pepper stock,English,check_stock,unknown
smartstock kya hai aur kaise use kare now,Code-Mixed,help,unknown
kaunsa maal toot gaya please,Hindi,low_stock_alert,unknown
soap inventory check please please,Code-Mixed,check_stock,soap
chai taa please,Kannada,add_stock,tea
rice ka stock check karo please quickly,Code-Mixed,check_stock,rice
aaj ka shortage batao now,Hindi,low_stock_alert,unknown
how to add items please,English,help,unknown
dal eshtu baaki ide,Kannada,check_stock,dal
tuppada stock jaasti karo,Code-Mixed,add_stock,ghee
tel ka dabba kitna bacha,Hindi,check_stock,oil
tarkari stock jaasti maadi please,Kannada,add_stock,unknown
shortage items today please,English,low_stock_alert,unknown
festival ke liye stock badhao please,Hindi,add_stock,unknown
atta stock level kya hai please,Code-Mixed,check_stock,flour
haalu order maadi please,Kannada,add_stock,milk
app kaise chalayein now,Hindi,help,unknown
predict tomorrow's need now,English,get_prediction,unknown
100 sabun dalo please,Hindi,add_stock,dal
predict festive season demand please,English,get_prediction,unknown
sompu eshtu ide,Kannada,check_stock,unknown
hittu 25 kg order karo today,Code-Mixed,add_stock,flour
total inventory count,English,check_stock,unknown
system kaise kaam karta hai explain today,Code-Mixed,help,unknown
haalu bedu eshtu aagutte quickly,Kannada,get_prediction,milk
sab items check kar do please,Code-Mixed,check_stock,unknown
reorder spices,English,add_stock,unknown
stock update karo after delivery asap,Code-Mixed,add_stock,unknown
ella item bedu heli,Kannada,get_prediction,unknown
restock sab items karo today,Code-Mixed,add_stock,unknown
rice ka stock kya hai please,Hindi,check_stock,rice
haalu order maadi please today,Code-Mixed,add_stock,milk
biscuit stock tilikoli,Kannada,check_stock,unknown
help menu dikhao,Hindi,help,unknown
items that will finish today now,English,low_stock_alert,unknown
low stock ki suchi do please,Hindi,low_stock_alert,unknown
doodh order karo,Hindi,add_stock,milk
yaav maal illa now,Kannada,low_stock_alert,unknown
kya khatam ho raha hai tell me now,Code-Mixed,low_stock_alert,oil
yaav features ide now,Kannada,help,unknown
tea powder eshtu ide,Kannada,check_stock,tea
itwaar ko kya chahiye hoga now,Hindi,get_prediction,unknown
naye user ke liye guide jaldi,Code-Mixed,help,unknown
yaav item kama aagutte now,Kannada,low_stock_alert,unknown
stock add karne ka tarika batao,Hindi,help,unknown
bread ka stock daalo,Hindi,add_stock,unknown
smartstock kya hai aur kaise use kare please,Code-Mixed,help,unknown
tel ki khapat batao,Hindi,get_prediction,oil
dal mangao please,Hindi,add_stock,dal
roz ka low stock report now,Hindi,low_stock_alert,unknown
chutti ke din ke liye forecast please,Hindi,get_prediction,unknown
alert kaise set kare please,Hindi,help,unknown
how to add stock batao jaldi,Code-Mixed,help,unknown
kadale eshtu ide,Kannada,check_stock,dal
tutorial please,English,help,unknown
minimum stock threshold crossed,English,low_stock_alert,unknown
items below minimum level quickly,English,low_stock_alert,unknown
report hege nodali please,Kannada,help,dal
stock update karo after delivery now,Code-Mixed,add_stock,unknown
chawal ki bikri ka andaza do now,Hindi,get_prediction,rice
forecast kaise kaam karta hai please,Hindi,help,unknown
predict sales for tomorrow please,Code-Mixed,get_prediction,unknown
sabzi ka stock badhao,Hindi,add_stock,unknown
kya khareedna chahiye next week ke liye now,Code-Mixed,get_prediction,unknown
10 kg besan daalo,Hindi,add_stock,unknown
kya stock bacha hai,Hindi,check_stock,unknown
order more dal,English,add_stock,dal
guide tilikoli quickly,Kannada,help,unknown
yaav items low ide batao abhi,Code-Mixed,low_stock_alert,unknown
help with alerts please,English,help,unknown
daily low stock report,English,low_stock_alert,unknown
out of stock alert please,English,low_stock_alert,unknown
guide please dikhao jaldi,Code-Mixed,help,unknown
usage instructions please,English,help,unknown
spices inventory level,English,check_stock,unknown
demand estimate please batao quickly,Code-Mixed,get_prediction,unknown
sugar kitna hai currently,Code-Mixed,check_stock,sugar
masala thumbi,Kannada,add_stock,unknown
kal kya best seller hoga please,Hindi,get_prediction,unknown
7 din ke liye stock kitna rakhun now,Hindi,get_prediction,unknown
naya maal add karo system mein quickly,Code-Mixed,add_stock,unknown
predict festive season demand now,English,get_prediction,unknown
put new stock in,English,add_stock,unknown
hosa nanu hege praarambbisu,Kannada,help,unknown
zero stock yaav ide,Kannada,low_stock_alert,unknown
predict sales for monday,English,get_prediction,unknown
prediction samjhao now,Hindi,help,unknown
agle mahine ke liye stock plan please,Hindi,get_prediction,unknown
jasti bikuna item heli now,Kannada,get_prediction,unknown
sugar demand forecast please jaldi,Code-Mixed,get_prediction,sugar
show current stock,English,check_stock,unknown
dal packat kitne hain,Hindi,check_stock,dal
aaj kya order karna padega now,Code-Mixed,low_stock_alert,unknown
items that will finish today please,English,low_stock_alert,unknown
sabun ke packet kitne hain,Hindi,check_stock,soap
dal stock kya show karega,Code-Mixed,check_stock,dal
oil remaining kitna hai abhi quickly,Code-Mixed,check_stock,oil
stock warning do abhi jaldi,Code-Mixed,low_stock_alert,unknown
how much cheese do we have,English,check_stock,unknown
agle hafte kitna order karu now,Hindi,get_prediction,unknown
demand forecast for all items please,English,get_prediction,unknown
saunf kitna hai abhi,Hindi,check_stock,unknown
kaun sa item jyada bikta hai batao please,Hindi,get_prediction,unknown
kaunsa maal toot gaya,Hindi,low_stock_alert,unknown
predict demand for sugar next week now,English,get_prediction,sugar
biscuit mangao please,Hindi,add_stock,unknown
low stock items list please asap,Code-Mixed,low_stock_alert,unknown
prediction samjhao please,Hindi,help,unknown
how to check stock,English,help,unknown
ella item stock tilikoli,Kannada,check_stock,unknown
menasinakai eshtu ide,Kannada,check_stock,unknown
how much rice will sell tomorrow please,English,get_prediction,rice
50 noodle packet haaku,Kannada,add_stock,unknown
how to update inventory,English,help,unknown
naya batch daalo please,Hindi,add_stock,unknown
add bread to inventory please,English,add_stock,unknown
somwar ke liye forecast batao please,Hindi,get_prediction,unknown
what are the features please,English,help,unknown
add 10 kg rice,English,add_stock,rice
shuruat kaise kare please,Hindi,help,unknown
doodh hai kya aaj please,Hindi,check_stock,milk
how much besan is there,English,check_stock,unknown
cold drink kitni bachi,Hindi,check_stock,unknown
report hege nodali now,Kannada,help,dal
add stock for upcoming festival please,English,add_stock,unknown
stock prediction for next 7 days abhi,Code-Mixed,get_prediction,unknown
sakkare eshtu remaining quickly,Code-Mixed,check_stock,sugar
aaj kya order karna padega please,Code-Mixed,low_stock_alert,unknown
stock warning do abhi,Code-Mixed,low_stock_alert,unknown
10 kg kadala bele haaku,Kannada,add_stock,dal
rice ka 10 kg add karo please now,Code-Mixed,add_stock,rice
help chahiye kaise use karu jaldi,Code-Mixed,help,unknown
chutti ke din ke liye forecast,Hindi,get_prediction,unknown
sales prediction for rice,English,get_prediction,rice
khaali shelf yaav please,Kannada,low_stock_alert,unknown
sab items ki demand batao,Hindi,get_prediction,unknown
enne 5 litre haaku stock mein quickly,Code-Mixed,add_stock,oil
milk stock add karo now,Code-Mixed,add_stock,milk
kaun sa maal nahi bacha now,Hindi,low_stock_alert,unknown
cool drink order maadi please,Kannada,add_stock,unknown
how to set minimum stock please,English,help,unknown
low stock ki suchi do now,Hindi,low_stock_alert,unknown
kya kya bacha hai store mein,Hindi,check_stock,unknown
sab items check kar do now,Code-Mixed,check_stock,unknown
current stock of chawal batao quickly,Code-Mixed,check_stock,rice
what is smartstock,English,help,unknown
yaav features ide please,Kannada,help,unknown
hege use maadali please tell me today,Code-Mixed,help,dal
20 kg gehu kharido please,Hindi,add_stock,unknown
tyohar mein kitna bikega now,Hindi,get_prediction,unknown
khaali hone wale items batao,Code-Mixed,low_stock_alert,unknown
stock prediction for next 7 days please,Code-Mixed,get_prediction,unknown
prediction arthavenu now,Kannada,help,unknown
sugar demand forecast please quickly,Code-Mixed,get_prediction,sugar
mujhe madad chahiye,Hindi,help,unknown
which items are low,English,low_stock_alert,unknown
habba ge munche stock jaasti maadi,Kannada,add_stock,unknown
zero stock kaun sa hai please,Hindi,low_stock_alert,unknown
naale akki eshtu biku,Kannada,get_prediction,rice
neerinda bottle eshtu,Kannada,check_stock,unknown
tuppada stock jaasti karo today,Code-Mixed,add_stock,ghee
out of stock alert now,English,low_stock_alert,unknown
masala ka stock check karo,Hindi,check_stock,unknown
low stock items list please abhi,Code-Mixed,low_stock_alert,unknown
dal ka forecast batao now,Hindi,get_prediction,dal
which products are critically low now,English,low_stock_alert,unknown
chai ka packet kitna,Hindi,check_stock,tea
help with this system please,English,help,unknown
stock low hai kya aaj now,Code-Mixed,low_stock_alert,unknown
predict top selling items,English,get_prediction,unknown
motte taa,Kannada,add_stock,unknown
naale ge forecast maadi please abhi,Code-Mixed,get_prediction,unknown
stock add karne ka tarika batao now,Hindi,help,unknown
khaali hone wale items batao now,Code-Mixed,low_stock_alert,unknown
what is running out now,English,low_stock_alert,unknown
sab ka inventory status do now,Code-Mixed,check_stock,unknown
peanut kitna bacha hai,Hindi,check_stock,unknown
minimum ge keLage yaav ide,Kannada,low_stock_alert,unknown
kya kya kar sakte hai now,Hindi,help,unknown
tutorial please now,English,help,unknown
naale reorder yaav now,Kannada,low_stock_alert,unknown
we need more milk please,English,add_stock,milk
delivery bandide update maadi,Kannada,add_stock,unknown
masale order karo please,Hindi,add_stock,unknown
guide for adding stock please,English,help,unknown
haalu order maadi please please,Code-Mixed,add_stock,milk
how much oil will I need this week please,English,get_prediction,oil
add 50 packets of noodles please,English,add_stock,unknown
item hege haakaali now,Kannada,help,unknown
soap inventory check please quickly,Code-Mixed,check_stock,soap
tutorial chahiye help karo today,Code-Mixed,help,unknown
smartstock kya hai aur kaise use kare quickly,Code-Mixed,help,unknown
naale eshtu mugitu now,Kannada,low_stock_alert,unknown
dal ka forecast batao please,Hindi,get_prediction,dal
enu maadabahude,Kannada,help,unknown
aaj kya order karna padega,Code-Mixed,low_stock_alert,unknown
current stock of rice,English,check_stock,rice
hosa nanu hege praarambbisu now,Kannada,help,unknown
urgent stock alert needed please,English,low_stock_alert,unknown
what is almost over please,English,low_stock_alert,unknown
urgent order kaun sa item now,Hindi,low_stock_alert,unknown
doodh ki demand kya hogi,Hindi,get_prediction,milk
put 5 kg flour please,English,add_stock,flour
how do I use this,English,help,unknown
minimum stock hege set maadali,Kannada,help,dal
naale akki eshtu biku now,Kannada,get_prediction,rice
is hafte tel kitna lagega now,Hindi,get_prediction,oil
agle hafte kitna order karu,Hindi,get_prediction,unknown
sugar ki mang ka andaza lagao,Hindi,get_prediction,sugar
app kaise chalayein,Hindi,help,unknown
kaun sa item bohot kam bacha hai now,Hindi,low_stock_alert,unknown
add washing powder to store please,English,add_stock,unknown
predict sales for tomorrow please today,Code-Mixed,get_prediction,unknown
